32.5,28.5,22.25
31.0,27.0,20.125
30.0,22.5,17.25
29.700000762939453,23.0,16.5
29.5,26.5,18.8125
29.5,21.25,14.0
29.1200008392334,25.0,18.6875
29.0,20.5,13.1875
28.5,22.5,15.125
28.25,23.0,14.375
28.0,25.0,17.5
28.0,22.0,14.6875
28.0,20.0,13.100000381469727
27.5,23.0,16.0
27.5,18.5,11.5
27.25,22.0,14.5
27.0,22.8799991607666,14.9375
27.0,22.5,15.0
27.0,22.0,14.875
27.0,21.65999984741211,11.9375
27.0,21.0,12.0
27.0,21.0,10.875
27.0,19.5,11.1875
27.0,18.0,12.1875
27.0,18.0,10.5625
27.0,17.5,10.0625
27.0,17.5,9.5625
27.0,14.0,8.8125
26.75,19.5,11.100000381469727
26.75,16.0,8.8125
26.5,24.0,15.9375
26.5,21.0,12.8125
26.5,21.0,12.125
26.5,20.25,12.300000190734863
26.5,19.375,10.625
26.5,18.0,9.3125
26.5,17.0,8.5625
26.5,17.0,8.5
26.25,22.0,11.3125
26.125,23.0,14.856249809265137
26.0,23.25,13.300000190734863
26.0,21.0,13.5
26.0,21.0,10.25
26.0,20.25,13.0
26.0,20.0,9.8125
26.0,19.5,10.3125
26.0,19.0,10.9375
26.0,19.0,10.5
26.0,19.0,10.125
26.0,19.0,9.5625
26.0,18.5,10.125
26.0,18.5,9.5625
26.0,18.0,10.0
26.0,18.0,9.0
26.0,17.0,9.5625
26.0,17.0,9.5
26.0,17.0,8.4375
26.0,17.0,8.125
26.0,16.0,8.625
26.0,15.0,9.375
25.875,17.5,8.5
25.75,16.75,8.125
25.5,22.25,12.6875
25.5,19.25,11.375
25.5,19.25,9.5
25.5,18.75,9.4375
25.5,18.5,9.5
25.5,18.25,8.75
25.5,18.0,9.125
25.5,18.0,9.0
25.5,17.75,9.8125
25.5,17.5,8.100000381469727
25.5,17.0,9.0625
25.25,20.5,10.125
25.25,19.25,10.25
25.25,18.0,10.3125
25.25,16.25,8.5625
25.125,17.5,8.25
25.0,20.5,9.75
25.0,18.25,8.4375
25.0,18.0,10.0
25.0,18.0,9.5
25.0,18.0,8.625
25.0,18.0,8.0
25.0,17.5,9.125
25.0,17.5,8.5
25.0,17.25,8.8125
25.0,17.0,9.125
25.0,17.0,8.5625
25.0,17.0,8.5
25.0,17.0,8.4375
25.0,17.0,8.1875
25.0,16.75,8.0625
25.0,16.5,8.1875
